"Numero_observation";"Placette";"Espece";"Nombre_individus";"Environnement";"Humidite_sol";"Difficulte_enfoncer_crayon";"Temperature";"Code_postal";"Departement";"Longitude";"Latitude"
94941;"1";"Anécique tête noire";4;"Urbain";"sec";"facile";10;"93000";"93";2,44125;48,9023
94941;"1";"Anécique tête rouge";5;"Urbain";"sec";"facile";10;"93000";"93";2,44125;48,9023
94941;"1";"Endogé";13;"Urbain";"sec";"facile";10;"93000";"93";2,44125;48,9023
94941;"1";"Epigé";9;"Urbain";"sec";"facile";10;"93000";"93";2,44125;48,9023
94941;"2";"Anécique tête noire";7;"Urbain";"sec";"facile";10;"93000";"93";2,44125;48,9023
94941;"2";"Anécique tête rouge";6;"Urbain";"sec";"facile";10;"93000";"93";2,44125;48,9023
94941;"2";"Endogé";15;"Urbain";"sec";"facile";10;"93000";"93";2,44125;48,9023
94941;"2";"Epigé";13;"Urbain";"sec";"facile";10;"93000";"93";2,44125;48,9023
94941;"3";"Anécique tête noire";11;"Urbain";"sec";"facile";10;"93000";"93";2,44125;48,9023
94941;"3";"Anécique tête rouge";10;"Urbain";"sec";"facile";10;"93000";"93";2,44125;48,9023
94941;"3";"Endogé";20;"Urbain";"sec";"facile";10;"93000";"93";2,44125;48,9023
94941;"3";"Epigé";16;"Urbain";"sec";"facile";10;"93000";"93";2,44125;48,9023
94982;"1";"Anécique tête noire";11;"Péri-urbain";"sec";"peu_difficile";23;"81000";"81";2,14316;44,0215
94982;"1";"Anécique tête rouge";6;"Péri-urbain";"sec";"peu_difficile";23;"81000";"81";2,14316;44,0215
94982;"1";"Endogé";33;"Péri-urbain";"sec";"peu_difficile";23;"81000";"81";2,14316;44,0215
94982;"1";"Epigé";5;"Péri-urbain";"sec";"peu_difficile";23;"81000";"81";2,14316;44,0215
94982;"2";"Anécique tête noire";13;"Péri-urbain";"sec";"peu_difficile";23;"81000";"81";2,14316;44,0215
94982;"2";"Anécique tête rouge";11;"Péri-urbain";"sec";"peu_difficile";23;"81000";"81";2,14316;44,0215
94982;"2";"Endogé";0;"Péri-urbain";"sec";"peu_difficile";23;"81000";"81";2,14316;44,0215
94982;"2";"Epigé";4;"Péri-urbain";"sec";"peu_difficile";23;"81000";"81";2,14316;44,0215
94982;"3";"Anécique tête noire";0;"Péri-urbain";"sec";"peu_difficile";23;"81000";"81";2,14316;44,0215
94982;"3";"Anécique tête rouge";0;"Péri-urbain";"sec";"peu_difficile";23;"81000";"81";2,14316;44,0215
94982;"3";"Endogé";0;"Péri-urbain";"sec";"peu_difficile";23;"81000";"81";2,14316;44,0215
94982;"3";"Epigé";0;"Péri-urbain";"sec";"peu_difficile";23;"81000";"81";2,14316;44,0215
94983;"1";"Anécique tête noire";8;"Péri-urbain";"sec";"peu_difficile";20;"81000";"81";2,14316;44,0215
94983;"1";"Anécique tête rouge";0;"Péri-urbain";"sec";"peu_difficile";20;"81000";"81";2,14316;44,0215
94983;"1";"Endogé";4;"Péri-urbain";"sec";"peu_difficile";20;"81000";"81";2,14316;44,0215
94983;"1";"Epigé";7;"Péri-urbain";"sec";"peu_difficile";20;"81000";"81";2,14316;44,0215
94983;"2";"Anécique tête noire";4;"Péri-urbain";"sec";"peu_difficile";20;"81000";"81";2,14316;44,0215
94983;"2";"Anécique tête rouge";0;"Péri-urbain";"sec";"peu_difficile";20;"81000";"81";2,14316;44,0215
94983;"2";"Endogé";33;"Péri-urbain";"sec";"peu_difficile";20;"81000";"81";2,14316;44,0215
94983;"2";"Epigé";14;"Péri-urbain";"sec";"peu_difficile";20;"81000";"81";2,14316;44,0215
94983;"3";"Anécique tête noire";0;"Péri-urbain";"sec";"peu_difficile";20;"81000";"81";2,14316;44,0215
94983;"3";"Anécique tête rouge";0;"Péri-urbain";"sec";"peu_difficile";20;"81000";"81";2,14316;44,0215
94983;"3";"Endogé";0;"Péri-urbain";"sec";"peu_difficile";20;"81000";"81";2,14316;44,0215
94983;"3";"Epigé";0;"Péri-urbain";"sec";"peu_difficile";20;"81000";"81";2,14316;44,0215
94994;"1";"Anécique tête noire";10;"Rural";"sec";"facile";16;"62130";"62";2,3446;50,3861
94994;"1";"Anécique tête rouge";2;"Rural";"sec";"facile";16;"62130";"62";2,3446;50,3861
94994;"1";"Endogé";17;"Rural";"sec";"facile";16;"62130";"62";2,3446;50,3861
94994;"1";"Epigé";9;"Rural";"sec";"facile";16;"62130";"62";2,3446;50,3861
94994;"2";"Anécique tête noire";0;"Rural";"sec";"facile";16;"62130";"62";2,3446;50,3861
94994;"2";"Anécique tête rouge";8;"Rural";"sec";"facile";16;"62130";"62";2,3446;50,3861
94994;"2";"Endogé";49;"Rural";"sec";"facile";16;"62130";"62";2,3446;50,3861
94994;"2";"Epigé";35;"Rural";"sec";"facile";16;"62130";"62";2,3446;50,3861
94994;"3";"Anécique tête noire";0;"Rural";"sec";"facile";16;"62130";"62";2,3446;50,3861
94994;"3";"Anécique tête rouge";20;"Rural";"sec";"facile";16;"62130";"62";2,3446;50,3861
94994;"3";"Endogé";64;"Rural";"sec";"facile";16;"62130";"62";2,3446;50,3861
